STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
HARYANA,SIRSA,Berwalakhurd,29.452777780178526,74.56805555961374,Manual,3.9,,,,4.44,,,4,,,4.69,,2001
HARYANA,MEWAT,Pipaka-Shashola,28.22638888973083,77.02916667022726,Manual,,,,,,,,,,,,,2001
HARYANA,FARIDABAD,Manjhawali-DW,28.3694444400232,77.47749999952136,Manual,,,,,,,,,,,,,2001
HARYANA,PALWAL,Achheja,28.045833330013867,77.46666666994655,Manual,5.24,,,,6.48,,,5.76,,,5.44,,2001
HARYANA,FATEHABAD,Khajuri Jatti-Pz,29.475555559996717,75.61111111023902,Manual,,,,,,,,,,,,,2001
HARYANA,KURUKSHETRA,Kaulapur S,30.025000000280443,76.895833330141,Manual,,,,,,,,,,,,,2001
HARYANA,KURUKSHETRA,Khanpur Jattan M -Pz,30.125000000020478,76.86083333003714,Manual,,,,,,,,,,,,,2001
HARYANA,BHIWANI,Runhat-DW,29.000555559904925,75.93888889046148,Manual,,,,,,,,,,,,,2001
HARYANA,MEWAT,Bhadas-DW,27.941666669591882,77.0166666703182,Manual,,,,,,,,,,,,,2001
HARYANA,MEWAT,Kheri1,27.977777779736588,77.01250000023035,Manual,,,,,5.98,,,4.88,,,,,2001
HARYANA,GURGAON,Kherlilala,28.300000000365415,77.17083333020308,Manual,7.52,,,,7.92,,,7.84,,,7.22,,2001
HARYANA,KARNAL,Nisang-Pz,29.694444439687988,76.7541666697699,Manual,,,,,,,,,,,,,2001
HARYANA,MEWAT,Rangla Dhani-Pz,28.227777779852747,76.8708333299649,Manual,,,,,,,,,,,,,2001
HARYANA,GURGAON,Gudhana-Pz,28.352777780232728,76.68888888958139,Manual,,,,,,,,,,,,,2001
HARYANA,KAITHAL,Nangla-Pz-S,29.617222219718084,75.89138889006571,Manual,,,,,,,,,,,,,2001
HARYANA,BHIWANI,Baundkalan,28.780555560439602,76.36666667012837,Manual,7.91,,,,7.75,,,,,,,,2001
HARYANA,KAITHAL,Nangla-Pz-D,29.617222219718084,75.89138889006571,Manual,,,,,,,,,,,,,2001
HARYANA,KURUKSHETRA,Malikpur S,30.045833330012478,76.63333332989001,Manual,,,,,,,,,,,,,2001
HARYANA,KURUKSHETRA,Busthala-PZ,30.076111109712773,76.72166666972258,Manual,,,,,,,,,,,,,2001
HARYANA,BHIWANI,Gurera,28.919444439912038,75.51583333033366,Manual,16.75,,,,16.43,,,16.05,,,16.6,,2001
HARYANA,KAITHAL,Samain,29.61944444005702,75.9375000000977,Manual,3.33,,,,4.64,,,3.6,,,3.63,,2001
HARYANA,PANIPAT,Patti Kalyana M,29.209722219814747,77.02777777967859,Manual,13.25,,,,14.02,,,,,,,,2001
HARYANA,KURUKSHETRA,Bodhni (m),30.054166669606317,76.55833333035348,Manual,12.03,,,,13.85,,,19.76,,,15.06,,2001
HARYANA,KAITHAL,Kaithal S,29.799999999963504,76.40000000028799,Manual,,,,,,,,,,,,,2001
HARYANA,JHAJJAR,Kutubgarh Pz,28.811111110256718,76.94999999960346,Manual,,,,,,,,,,,,,2001
HARYANA,MEWAT,Firozepur Jhirka,27.791666669610766,76.94999999951958,Manual,,,,,,,,,,,,,2001
HARYANA,YAMUNANAGAR,Shahabpura-Pz,30.126944440210973,77.11500000046954,Manual,,,,,,,,,,,,,2001
HARYANA,KURUKSHETRA,Barshami-PZ,30.011111110270956,77.10694444044995,Manual,,,,,,,,,,,,,2001
HARYANA,REWARI,Karoli-DW,28.385555559909807,76.33888889050714,Manual,,,,,,,,,,,,,2001
HARYANA,KARNAL,Paccakhera,29.60277778036886,76.78888889041872,Manual,,,,,,,,,,,,,2001
HARYANA,FATEHABAD,Bhodiakhera,29.48750000006224,75.42083333016922,Manual,9.74,,,,10.3,,,9.94,,,10.19,,2001
HARYANA,AMBALA,Binjal Pur-DW,30.306666669780753,77.13333332992333,Manual,,,,,,,,,,,,,2001
HARYANA,PALWAL,Rasulpur2,28.091666670070403,77.4041666698859,Manual,,,,,,,,,,,,,2001
HARYANA,JIND,Ghaso,29.522222220182744,76.15277777974313,Manual,6.04,,,,6.72,,,5.69,,,6.35,,2001
HARYANA,REWARI,Sangwari,28.162499999782654,76.66805556048662,Manual,14.11,,,,14.59,,,13.76,,,15.16,,2001
HARYANA,KURUKSHETRA,Yara-PZ,30.141666670275264,76.95138888969367,Manual,,,,,,,,,,,,,2001
HARYANA,MEWAT,Khori Kalan,28.21527778030871,76.8827777799972,Manual,,,,,,,,,,,,,2001
HARYANA,YAMUNANAGAR,Shahabpura-Ppz,30.130833330174095,77.11277778028672,Manual,,,,,,,,,,,,,2001
HARYANA,HISAR,Barwala1,29.370833330109583,75.92083333047029,Manual,11.29,,,,,,,,,,11.7,,2001
HARYANA,KARNAL,KheriNaru-Pz-M,29.64861110982916,76.91361110983453,Manual,,,,,,,,,,,,,2001
HARYANA,MAHENDRAGARH,Pachnota-DW,27.89333333020617,76.00499999961492,Manual,,,,,,,,,,,,,2001
HARYANA,ROHTAK,Kalanaur2,28.822222219692204,76.3972222201234,Manual,4.89,,,,,,,3.88,,,4.61,,2001
HARYANA,JHAJJAR,Hasanpur,28.541666670166503,76.6125000000866,Manual,7.05,,,,7.45,,,7.17,,,6.91,,2001
HARYANA,SIRSA,Sainpal-Pz,29.611111109621753,74.68333333016601,Manual,,,,,,,,,,,,,2001
HARYANA,BHIWANI,Miran,28.848611110090793,75.74166667016848,Manual,5.6,,,,5.99,,,4.35,,,5.17,,2001
HARYANA,SIRSA,Kalanwali Mandi-Pz,29.838888890344922,74.9888888894918,Manual,,,,,,,,,,,,,2001
HARYANA,SIRSA,Nadelkhera,29.533333329980653,75.28333333038407,Manual,,,,,,,,,,,,,2001
HARYANA,AMBALA,Bichali Dhamouli-Pz,30.38333332985416,77.01666666983274,Manual,,,,,,,,,,,,,2001
HARYANA,KURUKSHETRA,Ishaq,30.016666670011023,76.49166667024456,Manual,,,,,,,,,,,,,2001
HARYANA,KAITHAL,Ratta Khera-Pz,29.729166669868807,75.8527777804983,Manual,,,,,,,,,,,,,2001
HARYANA,SONIPAT,Nahara,28.875000000353204,77.00833333004536,Manual,,,,,,,,,,,,,2001
HARYANA,PALWAL,Baghaula,28.220833329621914,77.30833333019515,Manual,4.05,,,,4.6,,,,,,4,,2001
HARYANA,KURUKSHETRA,Gumthala Garhu-PZ,29.93638889015937,76.5502777794941,Manual,,,,,,,,,,,,,2001
HARYANA,KARNAL,Hathira-PZ,29.886111109741815,76.75249999988431,Manual,,,,,,,,,,,,,2001
HARYANA,JIND,Dalamwala-DW,29.38722221980899,76.38305556029192,Manual,,,,,,,,,,,,,2001
HARYANA,BHIWANI,Kakroli Hukmi1,28.570833330315534,75.9597222203962,Manual,,,,,,,,,,,,,2001
HARYANA,JIND,Alewa Pz,29.480555559867835,76.44999999974134,Manual,,,,,,,,,,,,,2001
HARYANA,KAITHAL,Pundri(d),29.777777779955485,76.57499999984663,Manual,8.5,,,,,,,,,,10.8,,2001
HARYANA,SONIPAT,Pinana,29.06111111008312,76.83333332956208,Manual,4.44,,,,5.09,,,4.76,,,4.65,,2001
HARYANA,HISAR,Agroha-Pz,29.324999999920372,75.62277777955012,Manual,,,,,,,,,,,,,2001
HARYANA,SIRSA,Kairanwali-DW,29.39944443992821,75.20833332993715,Manual,,,,,,,,,,,,,2001
